plot_id,rep,block,range,column,entry,location,planting_date,trt,byd,yield,ndvi_033116,ndvi_040716,ndvi_041416,ndvi_050616,ptht_033116,ptht_040716,ptht_041416,ptht_050616
16BYD00001,1,1,1,1,KS081057-K-1,Rocky,9/17/15,Treated,5,2983,0.78,0.73,0.65,0.63,0.37,0.36,0.43,0.78
16BYD00002,1,1,1,2,Everest,Rocky,9/17/15,Treated,5,2553,0.85,0.78,0.74,0.76,0.45,0.52,0.55,0.76
16BYD00003,1,1,1,3,KS080093-M-1,Rocky,9/17/15,Treated,5,2430,0.76,0.76,0.79,0.7,0.39,0.44,0.49,0.76
16BYD00004,1,1,1,4,KS10DL0072-15,Rocky,9/17/15,Treated,10,2377,0.78,0.84,0.82,0.74,0.47,0.52,0.59,0.76
16BYD00005,1,1,1,5,Art,Rocky,9/17/15,Treated,10,2501,0.78,0.76,0.68,0.68,0.38,0.41,0.47,0.76
16BYD00006,1,1,1,6,KS080076-M-5,Rocky,9/17/15,Treated,0,2481,0.76,0.73,0.8,0.7,0.4,0.43,0.5,0.76
16BYD00007,1,1,1,7,KS10DH0084-2,Rocky,9/17/15,Treated,5,2508,0.88,0.83,0.76,0.71,0.4,0.44,0.49,0.76
16BYD00008,1,1,1,8,KS10DH0003-12,Rocky,9/17/15,Treated,10,2427,0.83,0.79,0.75,0.75,0.41,0.46,0.51,0.79
16BYD00009,1,1,1,9,T158,Rocky,9/17/15,Treated,5,3098,0.86,0.76,0.76,0.69,0.43,0.46,0.53,0.8
16BYD00010,1,1,1,10,KS080932-M-3,Rocky,9/17/15,Treated,0,1160,0.84,0.77,0.74,0.72,0.43,0.46,0.44,0.76
16BYD00011,1,1,1,11,KS081078-M-3,Rocky,9/17/15,Treated,10,4671,0.84,0.76,0.87,0.77,0.46,0.49,0.54,0.82
16BYD00012,1,1,1,12,KS080315-K-5,Rocky,9/17/15,Treated,10,2908,0.88,0.75,0.75,0.77,0.39,0.43,0.51,0.76
16BYD00013,1,1,1,13,KS080093-M-18,Rocky,9/17/15,Treated,5,2874,0.83,0.78,0.67,0.69,0.4,0.38,0.41,0.76
16BYD00014,1,1,1,14,KS080234-M-11,Rocky,9/17/15,Treated,10,1723,0.8,0.86,0.74,0.73,0.38,0.45,0.48,0.81
16BYD00015,1,1,2,14,KS080080-M-17,Rocky,9/17/15,Treated,5,3551,0.76,0.72,0.62,0.66,0.46,0.49,0.54,0.76
16BYD00016,1,1,2,13,Art,Rocky,9/17/15,Treated,10,4112,0.69,0.78,0.71,0.69,0.37,0.37,0.43,0.77
16BYD00017,1,1,2,12,KS081079-K-9,Rocky,9/17/15,Treated,5,3016,0.73,0.85,0.81,0.78,0.44,0.45,0.54,0.84
16BYD00018,1,1,2,11,KS080655-M-4,Rocky,9/17/15,Treated,5,3061,0.66,0.73,0.65,0.68,0.37,0.43,0.43,0.76
16BYD00019,1,1,2,10,V-1863,Rocky,9/17/15,Treated,10,2507,0.82,0.83,0.77,0.75,0.4,0.43,0.43,0.76
16BYD00020,1,1,2,9,KS080669-K-2,Rocky,9/17/15,Treated,0,3231,0.49,0.58,0.65,0.58,0.39,0.35,0.45,0.72
16BYD00021,1,1,2,8,KS080881-K-3,Rocky,9/17/15,Treated,5,2849,0.78,0.82,0.77,0.67,0.44,0.5,0.57,0.76
16BYD00022,1,1,2,7,KS080554-K-2,Rocky,9/17/15,Treated,5,2272,0.76,0.77,0.83,0.66,0.44,0.5,0.55,0.77
16BYD00023,1,1,2,6,Everest,Rocky,9/17/15,Treated,0,3100,0.79,0.79,0.78,0.75,0.42,0.51,0.58,0.76
16BYD00024,1,1,2,5,KS080382-K-8,Rocky,9/17/15,Treated,5,2567,0.69,0.8,0.78,0.73,0.44,0.48,0.52,0.76
16BYD00025,1,1,2,4,KS080655-K-2,Rocky,9/17/15,Treated,5,2553,0.77,0.8,0.82,0.74,0.46,0.49,0.59,0.8
16BYD00026,1,1,2,3,KS080080-M-14,Rocky,9/17/15,Treated,10,3059,0.8,0.8,0.71,0.63,0.49,0.46,0.53,0.76
16BYD00027,1,1,2,2,KS080426-M-7,Rocky,9/17/15,Treated,5,2120,0.76,0.79,0.8,0.78,0.39,0.43,0.47,0.76
16BYD00028,1,1,2,1,KANMARK,Rocky,9/17/15,Treated,5,2458,0.68,0.72,0.73,0.68,0.33,0.29,0.36,0.76
16BYD00029,1,1,3,1,Art,Rocky,9/17/15,Treated,10,2049,0.69,0.61,0.73,0.76,0.35,0.32,0.38,0.76
16BYD00030,1,1,3,2,KS080099-M-9,Rocky,9/17/15,Treated,5,3383,0.81,0.81,0.8,0.77,0.42,0.46,0.53,0.76
16BYD00031,1,1,3,3,Everest,Rocky,9/17/15,Treated,0,2943,0.72,0.81,0.7,0.74,0.42,0.43,0.5,0.77
16BYD00032,1,1,3,4,KS080655-M-2,Rocky,9/17/15,Treated,5,1788,0.84,0.78,0.79,0.68,0.39,0.44,0.49,0.76
16BYD00033,1,1,3,5,KS081079-K-6,Rocky,9/17/15,Treated,5,2329,0.82,0.73,0.75,0.67,0.38,0.43,0.49,0.76
16BYD00034,1,1,3,6,KS080099-M-3,Rocky,9/17/15,Treated,5,2654,0.81,0.82,0.87,0.76,0.42,0.49,0.54,0.76
16BYD00035,1,1,3,7,WB4458,Rocky,9/17/15,Treated,5,2759,0.73,0.7,0.66,0.77,0.37,0.37,0.41,0.76
16BYD00036,1,1,3,8,KS10DH0084-42,Rocky,9/17/15,Treated,10,2239,0.81,0.83,0.78,0.74,0.38,0.43,0.47,0.76
16BYD00037,1,1,3,9,KS10DH0084-7,Rocky,9/17/15,Treated,5,3182,0.84,0.83,0.73,0.67,0.37,0.4,0.43,0.75
16BYD00038,1,1,3,10,KS080139-K-5,Rocky,9/17/15,Treated,5,2645,0.74,0.77,0.8,0.73,0.52,0.54,0.57,0.76
16BYD00039,1,1,3,11,KS080045-M-1,Rocky,9/17/15,Treated,0,2764,0.74,0.81,0.63,0.64,0.37,0.38,0.4,0.76
16BYD00040,1,1,3,12,LCS-WIZARD,Rocky,9/17/15,Treated,0,3021,0.84,0.77,0.78,0.73,0.42,0.48,0.53,0.76
16BYD00041,1,1,3,13,KS081098-M-7,Rocky,9/17/15,Treated,5,2861,0.84,0.69,0.79,0.78,0.44,0.49,0.53,0.77
16BYD00042,1,1,3,14,KS080597-M-4,Rocky,9/17/15,Treated,5,3535,0.79,0.82,0.79,0.74,0.42,0.45,0.51,0.76
16BYD00043,1,1,4,14,KS080851-K-1,Rocky,9/17/15,Treated,0,3092,0.71,0.72,0.79,0.76,0.37,0.44,0.47,0.82
16BYD00044,1,1,4,13,LCS-MINT,Rocky,9/17/15,Treated,5,3239,0.82,0.84,0.73,0.71,0.39,0.44,0.53,0.86
16BYD00045,1,1,4,12,Everest,Rocky,9/17/15,Treated,0,2795,0.77,0.84,0.74,0.77,0.45,0.48,0.55,0.79
16BYD00046,1,1,4,11,KS080144-M-6,Rocky,9/17/15,Treated,5,2549,0.79,0.74,0.7,0.71,0.45,0.49,0.51,0.76
16BYD00047,1,1,4,10,Art,Rocky,9/17/15,Treated,10,2831,0.71,0.78,0.71,0.73,0.41,0.48,0.5,0.76
16BYD00048,1,1,4,9,KS081098-K-2,Rocky,9/17/15,Treated,5,2602,0.74,0.76,0.8,0.58,0.39,0.4,0.48,0.77
16BYD00049,1,1,4,8,KS080382-M-17,Rocky,9/17/15,Treated,5,3687,0.7,0.72,0.69,0.78,0.43,0.49,0.51,0.76
16BYD00050,1,1,4,7,KS10DH0068-9,Rocky,9/17/15,Treated,5,2374,0.81,0.78,0.7,0.56,0.39,0.42,0.48,0.76
16BYD00051,1,1,4,6,KS080093-K-18,Rocky,9/17/15,Treated,5,2976,0.85,0.85,0.73,0.75,0.41,0.46,0.51,0.77
16BYD00052,1,1,4,5,KS080999-M-4,Rocky,9/17/15,Treated,5,2499,0.67,0.66,0.69,0.66,0.37,0.38,0.45,0.76
16BYD00053,1,1,4,4,KS080363-M-1,Rocky,9/17/15,Treated,5,2944,0.78,0.72,0.74,0.72,0.42,0.45,0.52,0.76
16BYD00054,1,1,4,3,SY-MONUMENT,Rocky,9/17/15,Treated,0,2612,0.84,0.77,0.79,0.77,0.37,0.36,0.45,0.76
16BYD00055,1,1,4,2,KS081078-M-6,Rocky,9/17/15,Treated,10,2976,0.82,0.81,0.79,0.7,0.42,0.45,0.53,0.8
16BYD00056,1,1,4,1,KS080581-K-1,Rocky,9/17/15,Treated,5,2413,0.76,0.78,0.66,0.71,0.37,0.37,0.41,0.76
16BYD00057,1,1,5,1,Everest,Rocky,9/17/15,Treated,0,2178,0.77,0.72,0.76,0.68,0.37,0.41,0.49,0.77
16BYD00058,1,1,5,2,KS080159-M-1,Rocky,9/17/15,Treated,5,3104,0.82,0.77,0.78,0.76,0.4,0.4,0.57,0.76
16BYD00059,1,1,5,3,KS080030-M-10,Rocky,9/17/15,Treated,5,2102,0.77,0.74,0.71,0.72,0.47,0.45,0.55,0.8
16BYD00060,1,1,5,4,KS081098-K-3,Rocky,9/17/15,Treated,0,2751,0.73,0.84,0.75,0.74,0.41,0.45,0.52,0.78
16BYD00061,1,1,5,5,Art,Rocky,9/17/15,Treated,5,2582,0.73,0.76,0.67,0.71,0.39,0.42,0.48,0.77
16BYD00062,1,1,5,6,KS10DH0003-89,Rocky,9/17/15,Treated,5,2553,0.76,0.8,0.76,0.76,0.37,0.41,0.51,0.76
16BYD00063,1,1,5,7,KS10DH0003-107,Rocky,9/17/15,Treated,0,3243,0.77,0.82,0.71,0.77,0.4,0.41,0.44,0.76
16BYD00064,1,1,5,8,KS080051-M-1,Rocky,9/17/15,Treated,5,3112,0.87,0.88,0.8,0.73,0.42,0.45,0.51,0.77
16BYD00065,1,1,5,9,KS080698-M-10,Rocky,9/17/15,Treated,0,2952,0.8,0.71,0.71,0.61,0.4,0.42,0.5,0.76
16BYD00066,1,1,5,10,HOTROD,Rocky,9/17/15,Treated,0,3048,0.82,0.82,0.78,0.7,0.45,0.49,0.5,0.76
16BYD00067,1,1,5,11,KS080261-K-3,Rocky,9/17/15,Treated,5,3047,0.83,0.79,0.75,0.72,0.45,0.49,0.56,0.85
16BYD00068,1,1,5,12,KS081067-M-4,Rocky,9/17/15,Treated,0,3438,0.73,0.76,0.83,0.71,0.46,0.5,0.54,0.8
16BYD00069,1,1,5,13,LCS-PISTOL,Rocky,9/17/15,Treated,5,2975,0.89,0.81,0.8,0.76,0.4,0.46,0.51,0.76
16BYD00070,1,1,5,14,KS10DH0068-3,Rocky,9/17/15,Treated,5,2255,0.83,0.83,0.71,0.64,0.39,0.46,0.51,0.76
16BYD00071,1,1,6,14,KS080988-M-6,Rocky,9/17/15,Treated,5,2467,0.73,0.75,0.75,0.76,0.4,0.46,0.5,0.77
16BYD00072,1,1,6,13,KS080128-K-3,Rocky,9/17/15,Treated,0,3944,0.76,0.78,0.83,0.6,0.4,0.44,0.52,0.85
16BYD00073,1,1,6,12,KS081067-M-15,Rocky,9/17/15,Treated,0,3330,0.86,0.79,0.78,0.71,0.49,0.5,0.6,0.78
16BYD00074,1,1,6,11,KSOCW07S031T-K-14,Rocky,9/17/15,Treated,0,3663,0.77,0.86,0.75,0.77,0.43,0.42,0.53,0.8
16BYD00075,1,1,6,10,Art,Rocky,9/17/15,Treated,10,2554,0.82,0.77,0.76,0.68,0.4,0.45,0.45,0.75
16BYD00076,1,1,6,9,KS080448-K-1,Rocky,9/17/15,Treated,0,3472,0.81,0.84,0.83,0.72,0.4,0.42,0.58,0.77
16BYD00077,1,1,6,8,KS080906-M-3,Rocky,9/17/15,Treated,0,2868,0.82,0.75,0.8,0.78,0.4,0.42,0.56,0.76
16BYD00078,1,1,6,7,KS080942-K-3,Rocky,9/17/15,Treated,5,3179,0.77,0.84,0.82,0.75,0.42,0.46,0.56,0.77
16BYD00079,1,1,6,6,KS081069-M-5,Rocky,9/17/15,Treated,0,3600,0.81,0.78,0.77,0.63,0.38,0.43,0.47,0.76
16BYD00080,1,1,6,5,WB-CEDAR,Rocky,9/17/15,Treated,5,2908,0.83,0.83,0.83,0.73,0.43,0.43,0.54,0.76
