plot_id,rep,block,range,column,entry,location,planting_date,trt,byd,ptht,yield,ndvi_032817,ndvi_041317,ndvi_050117,ndvi_050917,ndvi_052117,ndvi_052317,ndvi_053017,ndvi_060517,ndvi_061317,ndvi_phi1,ndvi_phi2,ndvi_phi3,pthtd_032817,pthtd_041317,pthtd_050117,pthtd_050917,pthtd_052117,pthtd_052317,pthtd_053017,pthtd_060517,pthtd_061317,pthtd_phi1,pthtd_phi2,pthtd_phi3
17BYD00001,1,1,1,1,KS090391M-2,Rocky,9/12/16,Untreated,20,0.9,4910,0.86,0.89,0.86,0.85,0.83,0.85,0.75,0.66,0.44,0.869356569,38.06637618,-0.13884523,0.313,0.483,0.659,0.821,0.807,0.826,0.886,0.894,0.896,0.93143445,-12.40294141,0.058224463
17BYD00002,1,1,1,2,KS090028K-19,Rocky,9/12/16,Untreated,20,0.9,3740,0.83,0.88,0.86,0.85,0.83,0.85,0.73,0.63,0.44,0.862923899,36.47012071,-0.133098,0.335,0.491,0.633,0.832,0.735,0.825,0.894,0.917,0.911,0.969153679,-10.3672014,0.048466881
17BYD00003,1,1,1,3,Art,Rocky,9/12/16,Untreated,80,0.92,2640,0.85,0.88,0.86,0.83,0.78,0.82,0.68,0.58,0.4,0.864558677,30.87664336,-0.113313379,0.347,0.567,0.686,0.829,0.774,0.746,0.856,0.929,0.941,0.923268294,-10.90929345,0.052533744
17BYD00004,1,1,1,4,KS12DH0298-57,Rocky,9/12/16,Untreated,35,0.91,2390,0.88,0.91,0.9,0.9,0.85,0.86,0.79,0.73,0.58,0.90113675,29.43213077,-0.105269942,0.338,0.494,0.629,0.788,0.712,0.786,0.821,0.95,0.932,0.998618425,-9.127921668,0.042467876
17BYD00005,1,1,2,4,KS12DH0296-156,Rocky,9/12/16,Untreated,10,0.97,5730,0.88,0.9,0.87,0.85,0.8,0.82,0.69,0.54,0.35,0.884437216,33.36083752,-0.123442238,0.354,0.586,0.752,0.815,0.756,0.795,0.865,0.887,0.865,0.86751776,-14.23156811,0.069501386
17BYD00006,1,1,2,3,KS090485K-11,Rocky,9/12/16,Untreated,65,0.92,3070,0.85,0.88,0.86,0.84,0.76,0.78,0.63,0.45,0.4,0.877783322,26.06382358,-0.096558546,0.341,0.588,0.664,0.787,0.728,0.725,0.818,0.892,0.892,0.865505303,-11.64483845,0.056869447
17BYD00007,1,1,2,2,KS090616K-1,Rocky,9/12/16,Untreated,55,0.96,4590,0.86,0.9,0.88,0.87,0.83,0.85,0.74,0.6,0.4,0.88405577,36.46975146,-0.133949439,0.347,0.511,0.689,0.843,0.737,0.727,0.742,0.885,0.916,0.87262577,-11.39931776,0.054925635
17BYD00008,1,1,2,1,KS090501K-12,Rocky,9/12/16,Untreated,40,0.94,3990,0.84,0.88,0.85,0.85,0.81,0.84,0.71,0.56,0.42,0.866160511,33.11336838,-0.121435445,0.323,0.499,0.653,0.842,0.77,0.79,0.868,0.888,0.894,0.910539785,-12.07096565,0.057228174
17BYD00009,1,1,3,1,Everest,Rocky,9/12/16,Untreated,5,0.96,4020,0.88,0.9,0.87,0.86,0.83,0.84,0.73,0.59,0.38,0.884484978,36.36020797,-0.133842507,0.352,0.574,0.735,0.863,0.793,0.74,0.837,0.902,0.914,0.882934184,-14.03579903,0.068176047
17BYD00010,1,1,3,2,KS12DH0214-65,Rocky,9/12/16,Untreated,10,0.9,3780,0.9,0.92,0.9,0.88,0.81,0.84,0.7,0.55,0.41,0.913869915,28.89617502,-0.106516229,0.403,0.634,0.82,0.826,0.803,0.793,0.851,0.896,0.912,0.872413706,-15.53844837,0.077086183
17BYD00011,1,1,3,3,HotRod,Rocky,9/12/16,Untreated,25,0.96,4370,0.85,0.89,0.87,0.86,0.79,0.84,0.68,0.54,0.38,0.877823734,32.43218291,-0.119664413,0.336,0.528,0.687,0.874,0.766,0.803,0.859,0.899,0.92,0.918442928,-12.29429201,0.058606604
17BYD00012,1,1,3,4,KS12DH0296-43,Rocky,9/12/16,Untreated,10,0.92,4420,0.88,0.9,0.87,0.85,0.79,0.82,0.67,0.45,0.36,0.891410754,31.05196622,-0.115460417,0.343,0.564,0.723,0.806,0.822,0.827,0.86,0.864,0.856,0.876357182,-13.8530804,0.067329349
