plot_id,rep,block,range,column,entry,location,planting_date,trt,byd,ptht,yield,ndvi_033018,ndvi_040418,ndvi_041218,ndvi_041918,ndvi_042318,ndvi_051618,ndvi_061318,ndvi_phi1,ndvi_phi2,ndvi_phi3,pthtd_033018,pthtd_040418,pthtd_041218,pthtd_041918,pthtd_042318,pthtd_051618,pthtd_061318,pthtd_phi1,pthtd_phi2,pthtd_phi3
18BYD00001,1,1,1,1,KS120428M~7,Ashland,9/19/17,Untreated,5,0.61,2710,0.44,0.72,0.68,0.73,0.72,0.65,0.28,0.73544605,23.46349877,-0.089699373,0.119,0.197,0.246,0.248,0.267,0.543,0.633,0.708016112,-10.97372514,0.049676436
18BYD00002,1,1,1,2,KS120300M~3,Ashland,9/19/17,Untreated,80,0.6,3020,0.51,0.74,0.73,0.76,0.77,0.66,0.27,0.78235845,21.62352591,-0.08338983,0.146,0.208,0.244,0.258,0.277,0.53,0.616,0.716098656,-9.886404649,0.044644192
18BYD00003,1,1,1,3,KS120741M~1,Ashland,9/19/17,Untreated,2,0.66,3550,0.4,0.68,0.69,0.77,0.79,0.74,0.31,0.78212181,31.04649243,-0.117855342,0.07,0.134,0.183,0.207,0.224,0.54,0.654,0.697187777,-14.91032658,0.066674045
18BYD00004,1,1,1,4,Art,Ashland,9/19/17,Untreated,25,0.58,3690,0.43,0.7,0.73,0.78,0.8,0.66,0.26,0.814643857,20.45100049,-0.079441689,0.094,0.147,0.207,0.219,0.239,0.2,0.623,0.697187831,-14.91032445,0.066674035
18BYD00005,1,1,1,5,KS120414M~8,Ashland,9/19/17,Untreated,15,0.58,2300,0.38,0.67,0.66,0.69,0.72,0.64,0.26,0.711059915,25.849944,-0.098883422,0.083,0.153,0.197,0.2,0.213,0.299,0.575,0.697187831,-14.91032445,0.066674035
18BYD00006,1,1,2,5,KS120802M~11,Ashland,9/19/17,Untreated,35,0.6,4200,0.43,0.74,0.74,0.77,0.78,0.68,0.23,0.785119168,25.38834965,-0.098390067,0.102,0.162,0.225,0.24,0.25,0.463,0.6,0.692132608,-10.27417311,0.0456112
18BYD00007,1,1,2,4,KS120494M~1,Ashland,9/19/17,Untreated,2,0.6,3790,0.4,0.7,0.72,0.75,0.77,0.64,0.23,0.778477904,22.15003234,-0.086221783,0.105,0.155,0.201,0.218,0.233,0.255,0.573,0.697187831,-14.91032445,0.066674035
18BYD00008,1,1,2,3,Everest,Ashland,9/19/17,Untreated,15,0.57,2860,0.43,0.71,0.7,0.71,0.75,0.64,0.24,0.740172576,24.18230989,-0.093328992,0.107,0.177,0.213,0.225,0.233,0.296,0.548,0.697187831,-14.91032445,0.066674035
18BYD00009,1,1,2,2,KS120557M~10,Ashland,9/19/17,Untreated,80,0.57,2550,0.38,0.67,0.65,0.68,0.72,0.65,0.3,0.703999544,26.54918113,-0.100553072,0.099,0.152,0.213,0.219,0.243,0.476,0.609,0.691434777,-11.31410908,0.05024142
18BYD00010,1,1,2,1,KS120487M~4,Ashland,9/19/17,Untreated,25,0.56,2730,0.42,0.73,0.7,0.74,0.76,0.6,0.27,0.797861905,16.50516929,-0.064343088,0.093,0.171,0.224,0.237,0.247,0.221,0.569,0.697187831,-14.91032445,0.066674035
18BYD00011,1,1,3,1,KS120494M~6,Ashland,9/19/17,Untreated,20,0.5,2740,0.46,0.77,0.72,0.73,0.75,0.6,0.33,0.806825787,13.53376812,-0.052081958,0.128,0.18,0.219,0.225,0.23,0.341,0.556,0.697187831,-14.91032445,0.066674035
18BYD00012,1,1,3,2,Art,Ashland,9/19/17,Untreated,80,0.6,2910,0.49,0.78,0.76,0.78,0.81,0.68,0.3,0.816973281,20.12717178,-0.077429658,0.12,0.174,0.225,0.234,0.254,0.425,0.619,0.989959287,-7.589922318,0.03042265
18BYD00013,1,1,3,3,KS120487M~3,Ashland,9/19/17,Untreated,5,0.58,3390,0.43,0.73,0.73,0.77,0.8,0.68,0.24,0.79745006,24.10265396,-0.093435721,0.107,0.177,0.245,0.252,0.265,0.445,0.631,0.848383485,-8.22125414,0.034805227
18BYD00014,1,1,3,4,KS120126M~6,Ashland,9/19/17,Untreated,5,0.64,4330,0.44,0.76,0.78,0.82,0.83,0.76,0.24,0.828859545,30.6072797,-0.117996551,0.095,0.162,0.226,0.231,0.248,0.565,0.644,0.694430583,-13.63961005,0.061862323
18BYD00015,1,1,3,5,KS120494M~5,Ashland,9/19/17,Untreated,1,0.65,4150,0.49,0.79,0.8,0.83,0.84,0.75,0.22,0.841026654,29.01639479,-0.112563962,0.098,0.153,0.196,0.224,0.249,0.55,0.577,0.624379349,-14.80639374,0.067868982
18BYD00016,1,1,4,5,KS120302M~1,Ashland,9/19/17,Untreated,10,0.62,3740,0.4,0.72,0.73,0.78,0.79,0.73,0.27,0.78860431,29.68074602,-0.113609253,0.079,0.154,0.195,0.21,0.215,0.488,0.625,0.711676928,-12.03461067,0.053087373
18BYD00017,1,1,4,4,Everest,Ashland,9/19/17,Untreated,2,0.61,3950,0.48,0.77,0.77,0.81,0.82,0.72,0.2,0.822272099,28.34894903,-0.110429306,0.119,0.165,0.226,0.228,0.241,0.487,0.613,0.712474109,-10.2843506,0.045581954
