plot_id,rep,block,range,column,entry,location,planting_date,trt,byd,ptht,yield,ndvi_040119,ndvi_040919,ndvi_041919,ndvi_042619,ndvi_050219,ndvi_051019,ndvi_051519,ndvi_052319,ndvi_053119,ndvi_060519,ndvi_061219,ndvi_061719,ndvi_phi1,ndvi_phi2,ndvi_phi3,pthtd_040119,pthtd_040919,pthtd_041919,pthtd_042619,pthtd_050219,pthtd_051019,pthtd_051519,pthtd_052319,pthtd_053119,pthtd_060519,pthtd_061219,pthtd_061719,pthtd_phi1,pthtd_phi2,pthtd_phi3
19BYD00001,1,1,1,1,KS05HW14,Ashland,9/17/18,Untreated,15,0.97,3900,0.81,0.81,0.858,0.877,0.894,0.911,0.893,0.876,0.78,0.471,0.398,0.315,0.875955018,36.70487976,-0.137644935,0.132,0.288,0.378,0.448,0.528,0.671,0.848,0.813,0.847,0.911,0.974,0.945,0.996576377,-13.98673818,0.062884375
19BYD00002,1,1,1,2,KS120552M~12,Ashland,9/17/18,Untreated,5,0.975,4900,0.817,0.84,0.871,0.885,0.906,0.921,0.895,0.877,0.775,0.492,0.433,0.363,0.888019291,33.00119168,-0.123246003,0.133,0.286,0.378,0.492,0.589,0.75,0.93,0.968,0.881,0.921,0.869,0.148,1.113261332,-14.7082488,0.066118692
19BYD00003,1,1,1,3,KS13DH0011-20,Ashland,9/17/18,Untreated,5,1.01,4700,0.841,0.875,0.899,0.903,0.851,0.931,0.907,0.885,0.806,0.561,0.452,0.348,0.896126226,36.00843436,-0.134210578,0.143,0.298,0.407,0.495,0.56,0.727,0.834,0.884,0.826,0.902,0.996,1.025,1.025890913,-13.56837374,0.061268689
19BYD00004,1,1,1,4,Art,Ashland,9/17/18,Untreated,20,0.975,5600,0.831,0.825,0.867,0.9,0.899,0.938,0.924,0.917,0.856,0.589,0.454,0.348,0.893999992,41.09095713,-0.152935004,0.144,0.247,0.348,0.47,0.569,0.729,0.862,0.916,0.869,0.9,0.982,1.009,1.002691446,-16.23157391,0.073242005
19BYD00005,1,1,1,5,KS120802M~4,Ashland,9/17/18,Untreated,15,0.975,5000,0.832,0.862,0.909,0.912,0.931,0.937,0.931,0.915,0.853,0.611,0.479,0.384,0.911314754,37.74311262,-0.140123209,0.154,0.291,0.41,0.509,0.588,0.718,0.858,0.992,0.868,0.905,1.065,1.061,1.074317941,-13.90093895,0.062580283
19BYD00006,1,1,1,6,KS13DH0001-6,Ashland,9/17/18,Untreated,10,0.925,4200,0.826,0.781,0.843,0.876,0.901,0.912,0.896,0.879,0.786,0.433,0.405,0.346,0.874754707,34.66397835,-0.129867287,0.167,0.246,0.339,0.437,0.529,0.679,0.956,0.927,0.794,0.815,0.988,0.888,0.935311545,-17.68686717,0.080367121
19BYD00007,1,1,1,7,KS120794M~7,Ashland,9/17/18,Untreated,15,0.965,5000,0.838,0.841,0.87,0.881,0.91,0.931,0.921,0.909,0.858,0.601,0.484,0.405,0.894680286,37.45411253,-0.138693046,0.196,0.26,0.392,0.45,0.537,0.711,0.977,1.039,0.84,0.853,1.084,0.947,1.015619332,-16.32603997,0.073949633
19BYD00008,1,1,1,8,KS13DH0008-23,Ashland,9/17/18,Untreated,35,1,4900,0.826,0.859,0.897,0.914,0.92,0.941,0.934,0.922,0.883,0.695,0.597,0.485,0.906142219,37.56951822,-0.137486596,0.212,0.32,0.394,0.481,0.596,0.729,1.031,1.012,0.91,0.961,1.038,1.107,1.102568604,-14.47884297,0.065378124
19BYD00009,1,1,1,9,KS100060K-19,Ashland,9/17/18,Untreated,1,1.02,5100,0.841,0.842,0.882,0.912,0.936,0.949,0.936,0.925,0.886,0.725,0.601,0.466,0.906479209,41.24509703,-0.151164602,0.144,0.268,0.395,0.481,0.605,0.795,0.961,1.06,0.947,1.013,1.059,1.155,1.123077626,-16.49026575,0.074068323
19BYD00010,1,1,1,10,KS13DH0042-26,Ashland,9/17/18,Untreated,15,0.9,5500,0.826,0.848,0.897,0.913,0.939,0.942,0.934,0.919,0.882,0.667,0.503,0.411,0.908658638,40.34180638,-0.149156717,0.116,0.214,0.307,0.413,0.49,0.664,0.776,0.788,0.758,0.837,0.898,1.006,0.960330938,-14.73475385,0.065586316
19BYD00011,1,1,1,11,Everest,Ashland,9/17/18,Untreated,5,0.965,5700,0.773,0.786,0.828,0.846,0.895,0.91,0.907,0.876,0.82,0.563,0.454,0.35,0.858238616,39.92319469,-0.148335327,0.192,0.293,0.392,0.518,0.599,0.774,0.903,1.008,0.881,0.949,1.009,0.969,1.017902663,-15.91089281,0.072645299
19BYD00012,1,1,1,12,18CP010312,Ashland,9/17/18,Untreated,0,1.005,5300,0.83,0.832,0.876,0.908,0.94,0.94,0.935,0.92,0.882,0.691,0.475,0.384,0.903580173,44.26031342,-0.164005786,0.186,0.271,0.371,0.478,0.572,0.763,0.897,1.049,0.908,0.977,1.093,1.087,1.117294054,-14.95146278,0.066893929
19BYD00013,1,1,1,13,KS120522M~5,Ashland,9/17/18,Untreated,5,0.915,4300,0.778,0.701,0.734,0.817,0.894,0.907,0.899,0.851,0.74,0.412,0.407,0.36,0.828480194,34.3690508,-0.128337324,0.156,0.26,0.297,0.491,0.58,0.761,0.819,0.861,0.796,0.81,1.04,0.952,0.957455446,-16.13054061,0.0731933
19BYD00014,1,1,1,14,KS120380M~3,Ashland,9/17/18,Untreated,10,1.045,4400,0.827,0.857,0.881,0.909,0.941,0.937,0.931,0.891,0.801,0.467,0.417,0.365,0.909481465,33.5000762,-0.125472198,0.168,0.291,0.361,0.477,0.668,0.708,0.848,0.863,0.886,0.926,1.138,1.04,1.111627854,-12.84074093,0.057282579
19BYD00015,1,1,2,14,KS120269M~4,Ashland,9/17/18,Untreated,5,0.99,4800,0.818,0.814,0.883,0.893,0.929,0.928,0.925,0.907,0.844,0.587,0.426,0.357,0.894452178,40.03916392,-0.149179146,0.131,0.272,0.375,0.445,0.62,0.727,0.833,0.786,0.797,0.878,1.04,0.965,0.98413789,-14.51284139,0.065666513
19BYD00016,1,1,2,13,Art,Ashland,9/17/18,Untreated,40,0.935,3200,0.786,0.685,0.74,0.785,0.868,0.884,0.892,0.845,0.788,0.465,0.416,0.358,0.815941575,37.49531702,-0.139463897,0.153,0.259,0.339,0.467,0.577,0.733,0.878,0.88,0.865,0.929,1.089,1.023,1.061633519,-14.75030823,0.065987759
19BYD00017,1,1,2,12,KS120511M~16,Ashland,9/17/18,Untreated,5,0.97,5000,0.809,0.838,0.883,0.914,0.95,0.941,0.94,0.919,0.862,0.601,0.459,0.379,0.906349598,39.19257663,-0.145666358,0.208,0.329,0.432,0.519,0.623,0.752,0.892,0.975,0.92,0.994,1.097,0.894,1.044372673,-14.2614586,0.065180977
19BYD00018,1,1,2,11,18PE500002,Ashland,9/17/18,Untreated,10,0.98,6500,0.83,0.858,0.896,0.908,0.941,0.947,0.94,0.928,0.882,0.676,0.526,0.445,0.911905785,38.57989127,-0.142182103,0.157,0.315,0.42,0.49,0.57,0.74,0.852,1.006,0.951,1.083,1.079,0.182,1.113261332,-14.7082488,0.066118692
19BYD00019,1,1,2,10,KS120729M~3,Ashland,9/17/18,Untreated,5,0.935,6000,0.826,0.827,0.883,0.899,0.926,0.926,0.923,0.898,0.811,0.507,0.434,0.369,0.898440114,34.77709479,-0.129804971,0.131,0.249,0.377,0.448,0.545,0.727,0.847,0.819,0.827,0.983,1.009,1.064,1.075333026,-13.64384646,0.060617893
19BYD00020,1,1,2,9,KS120252M~14,Ashland,9/17/18,Untreated,15,0.985,5600,0.835,0.845,0.898,0.909,0.93,0.938,0.922,0.907,0.842,0.6,0.469,0.393,0.906234563,36.56324746,-0.13572962,0.17,0.293,0.431,0.529,0.641,0.818,0.916,0.886,0.882,1.022,1.05,1.104,1.087639622,-14.22005759,0.064472992
19BYD00021,1,1,2,8,KS120648M~5,Ashland,9/17/18,Untreated,20,0.98,5900,0.828,0.851,0.897,0.919,0.931,0.941,0.936,0.919,0.879,0.673,0.54,0.409,0.908094873,40.5939311,-0.149837139,0.206,0.298,0.385,0.476,0.556,0.693,0.866,0.904,0.901,0.95,1.041,1.099,1.158996023,-11.78227552,0.052040497
19BYD00022,1,1,2,7,Everest,Ashland,9/17/18,Untreated,5,0.89,4100,0.828,0.834,0.865,0.89,0.923,0.926,0.913,0.902,0.837,0.446,0.377,0.316,0.895826502,38.76939447,-0.145712532,0.159,0.258,0.383,0.488,0.568,0.724,0.878,0.981,0.888,0.895,1.006,0.927,0.989000415,-16.6317049,0.075590513
19BYD00023,1,1,2,6,KS120332M~1,Ashland,9/17/18,Untreated,10,0.9,3400,0.821,0.743,0.806,0.859,0.902,0.908,0.902,0.87,0.767,0.317,0.37,0.342,0.862939688,34.36650402,-0.129513054,0.141,0.218,0.321,0.441,0.523,0.668,0.777,0.835,0.755,0.85,0.947,0.797,0.883870189,-16.95447741,0.076978176
19BYD00024,1,1,2,5,KS120511M~9,Ashland,9/17/18,Untreated,5,1.015,4700,0.821,0.802,0.858,0.904,0.899,0.939,0.927,0.909,0.825,0.498,0.417,0.331,0.890197081,38.52308977,-0.144125928,0.187,0.294,0.361,0.532,0.583,0.736,0.892,1.052,0.908,0.972,1.036,1.054,1.08140319,-14.95293628,0.067436601
19BYD00025,1,1,2,4,KS120581M~2,Ashland,9/17/18,Untreated,10,0.99,5100,0.833,0.822,0.873,0.904,0.807,0.933,0.918,0.919,0.872,0.632,0.501,0.376,0.881040558,42.86139053,-0.158634937,0.173,0.28,0.344,0.441,0.513,0.672,0.832,0.835,0.856,0.955,0.929,1.016,1.047295932,-13.13483354,0.058430375
19BYD00026,1,1,2,3,KS120559M~12,Ashland,9/17/18,Untreated,10,0.925,5000,0.836,0.846,0.878,0.888,0.865,0.931,0.919,0.91,0.86,0.647,0.519,0.398,0.889276178,40.34678373,-0.149045058,0.131,0.258,0.337,0.427,0.478,0.644,0.72,0.779,0.813,0.85,0.894,0.976,1.000220361,-12.62615139,0.055859329
19BYD00027,1,1,2,2,KS100196K-2,Ashland,9/17/18,Untreated,35,1,3900,0.836,0.856,0.902,0.907,0.639,0.93,0.919,0.902,0.816,0.537,0.486,0.407,0.867728102,34.46555202,-0.127515563,0.126,0.301,0.425,0.494,0.578,0.756,0.851,0.901,0.875,0.925,0.799,1.004,0.944268734,-16.4394146,0.075535423
19BYD00028,1,1,2,1,U6893-1-1018-1H,Ashland,9/17/18,Untreated,5,0.895,3800,0.778,0.798,0.856,0.86,0.865,0.905,0.903,0.897,0.831,0.577,0.458,0.364,0.863066124,40.13954506,-0.148975062,0.103,0.274,0.374,0.44,0.505,0.662,0.729,0.821,0.743,0.816,0.843,0.906,0.888324781,-14.71604846,0.066875968
19BYD00029,1,1,3,1,18CP010302,Ashland,9/17/18,Untreated,0,0.96,5300,0.788,0.773,0.775,0.844,0.875,0.918,0.911,0.909,0.873,0.7,0.592,0.442,0.851718045,47.80520887,-0.175095651,0.113,0.207,0.232,0.405,0.515,0.722,0.838,0.939,0.879,0.915,0.957,0.949,0.970866084,-20.52899616,0.091689954
19BYD00030,1,1,3,2,KS120296M~1,Ashland,9/17/18,Untreated,5,0.97,4100,0.815,0.854,0.895,0.905,0.786,0.932,0.923,0.902,0.844,0.589,0.489,0.409,0.883087102,36.64411226,-0.135542007,0.226,0.419,0.582,0.689,0.761,0.861,0.956,0.995,0.901,0.929,0.821,0.978,0.940078369,-18.55088873,0.089139454
